comparison,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
shallow_convnet_vs_riemann_tslr,-0.7451475249863971,0.4775006637489875,-0.2483825079569141,14.0,0.359375,-1.6589506172839477,9,1.0,1.0
shallow_convnet_vs_eegnet,6.278889640403388,0.0002381493114795,2.0929632101909577,0.0,0.00390625,13.368055555555555,9,0.0030959410492344,0.08203125
shallow_convnet_vs_tiny_transformer,6.867169346369507,0.0001287298294243,2.289056445153555,0.0,0.00390625,14.40972222222222,9,0.0019309474413652,0.08203125
shallow_convnet_vs_hybrid_cfc,6.4166061696915335,0.0002054678354617,2.1388687199818053,0.0,0.00390625,14.081790123456791,9,0.0028765496964651,0.08203125
shallow_convnet_vs_cfc,8.127900010556424,3.8949628391259474e-05,2.709299999449059,0.0,0.00390625,18.03626543209876,9,0.0007010933110426,0.08203125
shallow_convnet_vs_lstm,8.845980899098588,2.1034813276259223e-05,2.9486602962243715,0.0,0.00390625,25.019290123456795,9,0.0003996614522489,0.08203125
riemann_tslr_vs_eegnet,5.391003460207612,0.0006529929228739,1.7970011512535973,1.0,0.0078125,15.027006172839505,9,0.0071829221516137,0.08203125
riemann_tslr_vs_tiny_transformer,9.54904207104162,1.196641615800398e-05,3.1830140173753665,0.0,0.00390625,16.06867283950617,9,0.00023932832316,0.08203125
riemann_tslr_vs_hybrid_cfc,6.120090845772742,0.0002831400367937,2.040030279280329,0.0,0.00390625,15.74074074074074,9,0.0033976804415251,0.08203125
riemann_tslr_vs_cfc,7.777594526242329,5.346355904150202e-05,2.592531505334828,0.0,0.00390625,19.69521604938271,9,0.0009088805037055,0.08203125
riemann_tslr_vs_lstm,14.312215694024776,5.541727373839727e-07,4.770738556143648,0.0,0.00390625,26.678240740740737,9,1.1637627485063428e-05,0.08203125
eegnet_vs_tiny_transformer,0.5592327894010802,0.5913100864802021,0.1864109294667693,16.0,0.49609375,1.0416666666666667,9,1.0,1.0
eegnet_vs_hybrid_cfc,0.3898951283271192,0.7067891329941984,0.129965042539051,20.0,0.8203125,0.7137345679012341,9,1.0,1.0
eegnet_vs_cfc,3.259795155996924,0.0115308215185312,1.0865983828030812,4.0,0.02734375,4.668209876543208,9,0.0807157506297188,0.19140625
eegnet_vs_lstm,4.977097047249453,0.0010834236900993,1.6590323467208363,1.0,0.0078125,11.651234567901234,9,0.0108342369009935,0.08203125
tiny_transformer_vs_hybrid_cfc,-0.1618148897013871,0.8754637919044299,-0.0539382964784112,22.0,1.0,-0.3279320987654325,9,1.0,1.0
tiny_transformer_vs_cfc,2.1919447803573724,0.0597395700369849,0.7306482586470698,8.0,0.09765625,3.626543209876541,9,0.3584374202219095,0.5859375
tiny_transformer_vs_lstm,7.548602429213643,6.616921340077488e-05,2.5162008037703747,0.0,0.00390625,10.609567901234568,9,0.0010587074144123,0.08203125
hybrid_cfc_vs_cfc,1.7369607086934056,0.1206000950241595,0.5789869020500893,10.0,0.1640625,3.9544753086419737,9,0.6030004751207976,0.8203125
hybrid_cfc_vs_lstm,3.986685292545926,0.004023909760571,1.3288950959007146,2.0,0.01171875,10.9375,9,0.0321912780845681,0.09375
cfc_vs_lstm,4.46089947881082,0.0021085438746111,1.486966489770591,0.0,0.00390625,6.983024691358026,9,0.0189768948715001,0.08203125
