model,model_display,params,accuracy_mean,accuracy_std,f1_mean,f1_std
riemann_tslr,Riemann-TSLR,1016,67.82407407407408,13.493727466543778,0.6765297224047634,0.135954046562516
shallow_convnet,Shallow ConvNet,40604,66.16512345679013,17.484036265521983,0.6601949296932877,0.1756706307498829
mi_mamba,MI-Mamba-style,298740,56.963734567901234,19.261337994064373,0.553863881984515,0.2020500502358799
eegnet,EEGNet,2420,52.79706790123456,18.17150363322383,0.5089233540487688,0.1798441346130715
hybrid_cfc,Hybrid-CfC-style,86964,52.083333333333336,18.76847726406509,0.5070588402022024,0.1972674628864819
tiny_transformer,Tiny-Transformer,101124,51.75540123456791,13.410670161925472,0.5076499744087717,0.136962186375578
cfc,CfC-style,86788,48.12885802469136,15.863053897754012,0.4657576348934574,0.1686466861315401
ss_head,SpatialSpectral-Head,36604,47.08719135802469,17.909266852836392,0.452954170283888,0.1880085255498567
lstm,LSTM,210948,41.145833333333336,12.81198244964937,0.3897511430206484,0.136590185890483
ss_cfc,SpatialSpectral-CfC,125372,40.39351851851852,13.20814347334044,0.385514300760055,0.1405427912933031
