comparison,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
shallow_convnet_vs_riemann_tslr,0.4086706295089899,0.693502174069967,0.1362235428868585,20.0,0.8203125,0.6561719140429795,9,1.0,1.0
shallow_convnet_vs_eegnet,5.236274967677168,0.0007868460453069,1.7454249870264336,0.0,0.00390625,13.852240546393476,9,0.0118026906796045,0.08203125
shallow_convnet_vs_tiny_transformer,7.760039051276492,5.433507347390583e-05,2.5866796797061675,0.0,0.00390625,16.509911710811267,9,0.0010323663960042,0.08203125
shallow_convnet_vs_hybrid_cfc,5.182069099961545,0.000840623501638,1.7273563647059285,0.0,0.00390625,15.317674496085292,9,0.0118026906796045,0.08203125
shallow_convnet_vs_cfc,6.998673507544398,0.0001127877922612,2.332891166157725,0.0,0.00390625,17.99883391637515,9,0.0018046046761797,0.08203125
shallow_convnet_vs_lstm,7.546082292809529,6.632652241874249e-05,2.515360761796592,0.0,0.00390625,25.581875728802267,9,0.0011275508811186,0.08203125
riemann_tslr_vs_eegnet,4.239748304746072,0.0028384442697286,1.4132494334018202,2.0,0.01171875,13.196068632350496,9,0.0312228869670155,0.10546875
riemann_tslr_vs_tiny_transformer,7.737627887633842,5.547065038705135e-05,2.57920929168189,0.0,0.00390625,15.853739796768284,9,0.0010323663960042,0.08203125
riemann_tslr_vs_hybrid_cfc,4.965382660666094,0.0010994479282736,1.6551275516869015,0.0,0.00390625,14.661502582042312,9,0.0131933751392842,0.08203125
riemann_tslr_vs_cfc,7.913828061391923,4.7204792139126175e-05,2.6379426831181423,0.0,0.00390625,17.342662002332172,9,0.0009440958427825,0.08203125
riemann_tslr_vs_lstm,8.975393238326177,1.8907873499201156e-05,2.991797742517712,0.0,0.00390625,24.925703814759288,9,0.0003970653434832,0.08203125
eegnet_vs_tiny_transformer,1.3660492296521003,0.2090863726296237,0.4553497424371974,16.0,0.49609375,2.6576711644177875,9,1.0,1.0
eegnet_vs_hybrid_cfc,0.9489673978912476,0.3704190766630315,0.3163224652809487,12.0,0.4609375,1.465433949691818,9,1.0,1.0
eegnet_vs_cfc,2.01984476128626,0.0780773971795735,0.6732815860022138,7.0,0.07421875,4.146593369981675,9,0.5465417802570149,0.51953125
eegnet_vs_lstm,4.23215160632556,0.0028679443988534,1.410717200411857,1.0,0.0078125,11.729635182408792,9,0.0312228869670155,0.0859375
tiny_transformer_vs_hybrid_cfc,-0.5105684191279809,0.6234400390549042,-0.1701894727997182,20.0,0.8203125,-1.1922372147259697,9,1.0,1.0
tiny_transformer_vs_cfc,1.0078094805052251,0.3430523863314557,0.3359364927437887,15.0,0.42578125,1.4889222055638869,9,1.0,1.0
tiny_transformer_vs_lstm,3.9275584960251537,0.004371666178047,1.3091861634524151,1.0,0.0078125,9.071964017991004,9,0.0393449956024236,0.0859375
hybrid_cfc_vs_cfc,1.1948205220937478,0.2663747877620726,0.3982735067729662,14.0,0.359375,2.6811594202898563,9,1.0,1.0
hybrid_cfc_vs_lstm,3.259465325237579,0.011536511961029,1.0864884405957875,5.0,0.0390625,10.264201232716974,9,0.0922920956882326,0.3125
cfc_vs_lstm,5.072779876874541,0.0009616905211739,1.690926621854285,0.0,0.00390625,7.583041812427118,9,0.0125019767752609,0.08203125
