model,model_display,params,accuracy_mean,accuracy_std,f1_mean,f1_std
riemann_tslr,Riemann-TSLR,1016,62.80864197530863,12.733454182185127,0.6168293487205774,0.1351276213967552
shallow_convnet,Shallow ConvNet,40604,59.452160493827165,15.426768948442009,0.5851911866974319,0.1572062921832007
mi_mamba,MI-Mamba-style,298740,48.37962962962963,17.96266838843038,0.4473002494118378,0.192462803688944
tiny_transformer,Tiny-Transformer,101124,46.83641975308642,15.853313078961165,0.4280799308511396,0.1856390149888684
eegnet,EEGNet,2420,45.52469135802469,15.536443147392315,0.425950739846032,0.1556514282045696
cfc,CfC-style,86788,45.10030864197532,12.903924752008088,0.4297492424080593,0.1359980095450635
hybrid_cfc,Hybrid-CfC-style,86964,45.02314814814815,12.279841691156957,0.418249694856982,0.1377777029321439
ss_head,SpatialSpectral-Head,36604,44.56018518518518,14.81504086922443,0.408592396777756,0.1746281406734514
lstm,LSTM,210948,38.81172839506173,10.355401109230824,0.358670588170265,0.107338794593661
ss_cfc,SpatialSpectral-CfC,125372,38.31018518518519,12.129193385214284,0.3477287543192541,0.140448541257636
