comparison,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
shallow_convnet_vs_riemann_tslr,-0.6477560534154978,0.5352859988637502,-0.2159186840402564,15.0,0.42578125,-1.0802469135802493,9,1.0,1.0
shallow_convnet_vs_eegnet,5.491218948237329,0.0005797214530407,1.8304063139134723,0.0,0.00390625,15.470679012345675,9,0.0065587006476399,0.08203125
shallow_convnet_vs_tiny_transformer,7.5417211794320815,6.659972821391544e-05,2.5139070556949306,0.0,0.00390625,15.354938271604937,9,0.0010655956514226,0.08203125
shallow_convnet_vs_hybrid_cfc,5.655941367751078,0.000478119538677,1.8853137866330223,0.0,0.00390625,13.580246913580243,9,0.0065587006476399,0.08203125
shallow_convnet_vs_cfc,8.10326785834403,3.9812425695553424e-05,2.7010892819492733,0.0,0.00390625,17.51543209876543,9,0.0006768112368244,0.08203125
shallow_convnet_vs_lstm,11.81592382534782,2.411694103760546e-06,3.9386412684143695,0.0,0.00390625,23.148148148148145,9,4.823388207521092e-05,0.08203125
riemann_tslr_vs_eegnet,5.554707173581014,0.0005379960042137,1.8515690557889688,0.0,0.00390625,16.550925925925927,9,0.0065587006476399,0.08203125
riemann_tslr_vs_tiny_transformer,8.198373822492691,3.659380514481758e-05,2.73279126962023,0.0,0.00390625,16.435185185185187,9,0.0006586884926067,0.08203125
riemann_tslr_vs_hybrid_cfc,5.673537921411803,0.0004684786176885,1.891179304697678,1.0,0.0078125,14.660493827160495,9,0.0065587006476399,0.08203125
riemann_tslr_vs_cfc,8.563224233871892,2.6673926285959306e-05,2.854408073575825,0.0,0.00390625,18.59567901234568,9,0.0005068045994332,0.08203125
riemann_tslr_vs_lstm,15.08987700383148,3.6790040286012393e-07,5.0299589908346665,0.0,0.00390625,24.2283950617284,9,7.725908460062603e-06,0.08203125
eegnet_vs_tiny_transformer,-0.0541331961960758,0.958156481739342,-0.0180443987038934,17.0,0.9140625,-0.1157407407407389,9,1.0,1.0
eegnet_vs_hybrid_cfc,-0.5255088303010036,0.6134795747094428,-0.1751696099380203,17.0,0.5703125,-1.8904320987654315,9,1.0,1.0
eegnet_vs_cfc,0.9629204080108194,0.3637864265829559,0.3209734688330943,12.0,0.4453125,2.0447530864197523,9,1.0,1.0
eegnet_vs_lstm,3.344537815126052,0.0101624070475581,1.1148459367564818,3.0,0.01953125,7.67746913580247,9,0.0812992563804648,0.15625
tiny_transformer_vs_hybrid_cfc,-0.832042732547168,0.4295201447405186,-0.2773475770822857,17.0,0.5703125,-1.7746913580246924,9,1.0,1.0
tiny_transformer_vs_cfc,6.520892109083317,0.0001840122528249,2.1736306811592976,0.0,0.00390625,2.1604938271604914,9,0.0027601837923749,0.08203125
tiny_transformer_vs_lstm,5.209976485635492,0.0008124511360434,1.736658824675149,0.0,0.00390625,7.79320987654321,9,0.0081245113604343,0.08203125
hybrid_cfc_vs_cfc,1.747038984831606,0.1187665182759356,0.5823463274154198,11.5,0.2109375,3.9351851851851833,9,0.712599109655614,1.0
hybrid_cfc_vs_lstm,3.029632655789576,0.0163185323872555,1.009877550863948,4.0,0.02734375,9.567901234567902,9,0.1142297267107885,0.19140625
cfc_vs_lstm,3.512722380701105,0.0079299146520695,1.1709074577996643,2.0,0.01171875,5.632716049382718,9,0.0713692318686257,0.10546875
