model,perturbation,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high
shallow_convnet,band_limited_5db,43.85030864197531,17.28807941619163,30.56151443415001,57.139102849800615
shallow_convnet,channel_dropout_30pct,40.038580246913575,9.279744411121134,32.90553725168588,47.17162324214127
riemann_tslr,band_limited_5db,26.33487654320988,3.315340940814517,23.78647990349989,28.883273182919854
riemann_tslr,channel_dropout_30pct,27.51543209876543,2.166393372681634,25.850194740137848,29.18066945739301
eegnet,band_limited_5db,31.705246913580247,8.451927473531267,25.20852034544398,38.201973481716514
eegnet,channel_dropout_30pct,36.51234567901235,9.459099242026566,29.241438356539064,43.78325300148563
tiny_transformer,band_limited_5db,33.9891975308642,10.214007252022874,26.138016544140832,41.84037851758756
tiny_transformer,channel_dropout_30pct,32.84722222222222,5.15949322805742,28.881284649069457,36.813159795374986
cfc,band_limited_5db,37.723765432098766,10.98516826891757,29.279817614086262,46.16771325011127
cfc,channel_dropout_30pct,34.52160493827161,6.6005514666521,29.447971946029053,39.59523793051416
hybrid_cfc,band_limited_5db,28.90432098765432,4.389550563499626,25.53021373728168,32.278428238026954
hybrid_cfc,channel_dropout_30pct,34.19753086419753,8.805155139472463,27.42928947661829,40.96577225177677
lstm,band_limited_5db,38.43364197530864,9.82860393609629,30.87870820200131,45.988575748615965
lstm,channel_dropout_30pct,30.331790123456788,3.4334252255072526,27.69262586747878,32.970954379434794
