subject,model,accuracy,f1
1,shallow_convnet,70.48611111111111,0.7042305011987027
1,riemann_tslr,78.125,0.782808567720619
1,eegnet,58.68055555555556,0.553877387732933
1,cfc,48.26388888888889,0.47487529380659094
1,gru,51.041666666666664,0.4941474092168994
1,lstm,49.30555555555556,0.4894532456643572
2,shallow_convnet,45.13888888888889,0.4122994883367224
2,riemann_tslr,53.125,0.5146526013653604
2,eegnet,39.93055555555556,0.3936845943792426
2,cfc,30.90277777777778,0.2786418486459878
2,gru,22.22222222222222,0.19506208566430933
2,lstm,23.26388888888889,0.20681595247950385
3,shallow_convnet,82.98611111111111,0.8249102077308234
3,riemann_tslr,82.63888888888889,0.8179788838612367
3,eegnet,69.79166666666666,0.6479532403777951
3,cfc,63.888888888888886,0.6200289639321753
3,gru,50.34722222222222,0.4990261367704977
3,lstm,51.041666666666664,0.5017591628351121
4,shallow_convnet,54.861111111111114,0.547575063486531
4,riemann_tslr,54.166666666666664,0.5397214873087574
4,eegnet,40.27777777777778,0.386338946462243
4,cfc,43.05555555555556,0.39861604002558115
4,gru,34.72222222222222,0.325872378768021
4,lstm,38.19444444444444,0.2812804959802585
5,shallow_convnet,26.73611111111111,0.24118258888212396
5,riemann_tslr,47.91666666666667,0.46623927491202943
5,eegnet,29.51388888888889,0.290835320473064
5,cfc,28.47222222222222,0.27873490698347136
5,gru,29.166666666666668,0.2577258229432142
5,lstm,26.041666666666668,0.2473389841373443
6,shallow_convnet,47.56944444444444,0.4722615210072174
6,riemann_tslr,48.61111111111111,0.4737132607237476
6,eegnet,39.93055555555556,0.36799797717759497
6,cfc,28.125,0.23791989664082686
6,gru,40.27777777777778,0.3914513198097247
6,lstm,26.38888888888889,0.15066964285714285
7,shallow_convnet,64.23611111111111,0.6113732369780758
7,riemann_tslr,64.93055555555556,0.618641605308272
7,eegnet,35.76388888888889,0.2899742283673572
7,cfc,37.84722222222222,0.28404656319290467
7,gru,35.76388888888889,0.30180263343525315
7,lstm,34.02777777777778,0.2756113871649175
8,shallow_convnet,74.65277777777779,0.7451721317781288
8,riemann_tslr,65.27777777777779,0.6610136225179664
8,eegnet,67.36111111111111,0.6785293653714706
8,cfc,57.986111111111114,0.5773832570114581
8,gru,49.65277777777778,0.468882737521238
8,lstm,55.208333333333336,0.5462786806101073
9,shallow_convnet,73.26388888888889,0.7316749013738458
9,riemann_tslr,72.91666666666666,0.7336010236825454
9,eegnet,63.19444444444444,0.6028872504271703
9,cfc,60.763888888888886,0.575356993954555
9,gru,55.90277777777778,0.5048921360541079
9,lstm,42.70833333333333,0.4069984618765107
