subject,model,perturbation_type,level,seed,accuracy,f1
1,shallow_convnet,band_limited_noise,20.0,0,69.44444444444444,0.695166390038855
1,shallow_convnet,band_limited_noise,10.0,0,68.40277777777779,0.6904136890347143
1,shallow_convnet,band_limited_noise,5.0,0,54.513888888888886,0.5541280912471558
1,shallow_convnet,band_limited_noise,0.0,0,26.38888888888889,0.1394324853228963
1,shallow_convnet,channel_dropout,0.1,0,65.97222222222221,0.6465086276407032
1,shallow_convnet,channel_dropout,0.3,0,52.083333333333336,0.45942883759846975
1,shallow_convnet,channel_dropout,0.5,0,39.23611111111111,0.3456491678315232
1,shallow_convnet,band_limited_noise,20.0,1,71.52777777777779,0.7155741247345134
1,shallow_convnet,band_limited_noise,10.0,1,69.09722222222221,0.6969180859691808
1,shallow_convnet,band_limited_noise,5.0,1,56.25,0.570027400672562
1,shallow_convnet,band_limited_noise,0.0,1,26.38888888888889,0.13486850447617357
1,shallow_convnet,channel_dropout,0.1,1,61.111111111111114,0.6009453467536848
1,shallow_convnet,channel_dropout,0.3,1,53.81944444444444,0.48960894168135716
1,shallow_convnet,channel_dropout,0.5,1,38.54166666666667,0.32695781230263987
1,shallow_convnet,band_limited_noise,20.0,2,71.52777777777779,0.7156346573462476
1,shallow_convnet,band_limited_noise,10.0,2,68.75,0.6951568228917584
1,shallow_convnet,band_limited_noise,5.0,2,53.81944444444444,0.5458901360158577
1,shallow_convnet,band_limited_noise,0.0,2,25.694444444444443,0.12897456279809222
1,shallow_convnet,channel_dropout,0.1,2,62.15277777777778,0.6141005463552943
1,shallow_convnet,channel_dropout,0.3,2,49.30555555555556,0.42799260513197024
1,shallow_convnet,channel_dropout,0.5,2,36.80555555555556,0.31775202109829437
1,shallow_convnet,band_limited_noise,20.0,3,70.83333333333334,0.7076120329073085
1,shallow_convnet,band_limited_noise,10.0,3,66.66666666666666,0.675152339094804
1,shallow_convnet,band_limited_noise,5.0,3,53.47222222222222,0.5350760039808337
1,shallow_convnet,band_limited_noise,0.0,3,26.041666666666668,0.13232323232323231
1,shallow_convnet,channel_dropout,0.1,3,64.23611111111111,0.6328743516243516
1,shallow_convnet,channel_dropout,0.3,3,50.69444444444444,0.4671691568792433
1,shallow_convnet,channel_dropout,0.5,3,38.54166666666667,0.3267896769739799
1,shallow_convnet,band_limited_noise,20.0,4,70.48611111111111,0.7057524043533734
1,shallow_convnet,band_limited_noise,10.0,4,68.05555555555556,0.686062127756237
1,shallow_convnet,band_limited_noise,5.0,4,54.166666666666664,0.547689075630252
1,shallow_convnet,band_limited_noise,0.0,4,26.73611111111111,0.14056492162082224
1,shallow_convnet,channel_dropout,0.1,4,62.15277777777778,0.610934819897084
1,shallow_convnet,channel_dropout,0.3,4,50.0,0.4426416706031386
1,shallow_convnet,channel_dropout,0.5,4,39.93055555555556,0.34290622563759887
1,riemann_tslr,band_limited_noise,20.0,0,60.06944444444444,0.5605181837144863
