subject,model,perturbation,seed,accuracy,f1
1,shallow_convnet,band_limited_5db,0,44.44444444444444,0.40647697722246046
1,shallow_convnet,channel_dropout_30pct,0,45.48611111111111,0.43325467795093675
1,shallow_convnet,band_limited_5db,1,44.09722222222222,0.40955256625955466
1,shallow_convnet,channel_dropout_30pct,1,45.13888888888889,0.44004370821396754
1,shallow_convnet,band_limited_5db,2,43.05555555555556,0.3927818301962407
1,shallow_convnet,channel_dropout_30pct,2,50.0,0.48813253105213517
1,shallow_convnet,band_limited_5db,3,46.875,0.4410876159356465
1,shallow_convnet,channel_dropout_30pct,3,49.65277777777778,0.48410908455634455
1,shallow_convnet,band_limited_5db,4,45.13888888888889,0.4171425169905475
1,shallow_convnet,channel_dropout_30pct,4,50.0,0.48944690002516705
1,riemann_tslr,band_limited_5db,0,25.0,0.1
1,riemann_tslr,channel_dropout_30pct,0,32.98611111111111,0.24546901121339554
1,riemann_tslr,band_limited_5db,1,25.0,0.1
1,riemann_tslr,channel_dropout_30pct,1,31.25,0.23494988781234594
1,riemann_tslr,band_limited_5db,2,25.0,0.1
1,riemann_tslr,channel_dropout_30pct,2,31.944444444444443,0.2439827472722209
1,riemann_tslr,band_limited_5db,3,25.0,0.1
1,riemann_tslr,channel_dropout_30pct,3,31.25,0.24104253351826166
1,riemann_tslr,band_limited_5db,4,25.0,0.1
1,riemann_tslr,channel_dropout_30pct,4,30.208333333333332,0.21610734811165846
1,eegnet,band_limited_5db,0,38.88888888888889,0.3077379051489084
1,eegnet,channel_dropout_30pct,0,51.041666666666664,0.49600662447940924
1,eegnet,band_limited_5db,1,38.19444444444444,0.3002884979639303
1,eegnet,channel_dropout_30pct,1,47.22222222222222,0.4551120212060734
1,eegnet,band_limited_5db,2,38.88888888888889,0.3130959471916559
1,eegnet,channel_dropout_30pct,2,51.041666666666664,0.49613203266787653
1,eegnet,band_limited_5db,3,37.15277777777778,0.2969806888900446
1,eegnet,channel_dropout_30pct,3,47.91666666666667,0.462965040605694
1,eegnet,band_limited_5db,4,37.15277777777778,0.2902454518853389
1,eegnet,channel_dropout_30pct,4,45.83333333333333,0.45387119545979016
1,hybrid_cfc,band_limited_5db,0,30.555555555555557,0.22199051967919892
1,hybrid_cfc,channel_dropout_30pct,0,42.01388888888889,0.4186216154559874
1,hybrid_cfc,band_limited_5db,1,28.125,0.18412486938349007
1,hybrid_cfc,channel_dropout_30pct,1,46.875,0.4683511108486731
1,hybrid_cfc,band_limited_5db,2,28.819444444444443,0.19293545318468092
1,hybrid_cfc,channel_dropout_30pct,2,45.48611111111111,0.4528139976193123
1,hybrid_cfc,band_limited_5db,3,29.86111111111111,0.20461863480731404
1,hybrid_cfc,channel_dropout_30pct,3,46.52777777777778,0.46596551700150257
1,hybrid_cfc,band_limited_5db,4,28.47222222222222,0.1879577531262311
1,hybrid_cfc,channel_dropout_30pct,4,48.61111111111111,0.48617532426339527
1,tiny_transformer,band_limited_5db,0,37.5,0.32237819534331164
1,tiny_transformer,channel_dropout_30pct,0,40.625,0.35756623845612867
1,tiny_transformer,band_limited_5db,1,35.06944444444444,0.2952726295997851
1,tiny_transformer,channel_dropout_30pct,1,37.84722222222222,0.3380891366781895
1,tiny_transformer,band_limited_5db,2,38.54166666666667,0.33416419893587906
1,tiny_transformer,channel_dropout_30pct,2,37.5,0.3341593616504031
1,tiny_transformer,band_limited_5db,3,37.5,0.3257007007007007
1,tiny_transformer,channel_dropout_30pct,3,36.11111111111111,0.31492534902966185
1,tiny_transformer,band_limited_5db,4,36.11111111111111,0.31336517190311836
