model,model_display,true_label,pred_label,count,row_normalized
shallow_convnet,Shallow ConvNet,left_hand,left_hand,885,0.6828703703703703
shallow_convnet,Shallow ConvNet,left_hand,right_hand,235,0.18132716049382716
shallow_convnet,Shallow ConvNet,left_hand,feet,89,0.06867283950617284
shallow_convnet,Shallow ConvNet,left_hand,tongue,87,0.06712962962962964
shallow_convnet,Shallow ConvNet,right_hand,left_hand,229,0.17669753086419754
shallow_convnet,Shallow ConvNet,right_hand,right_hand,855,0.6597222222222222
shallow_convnet,Shallow ConvNet,right_hand,feet,97,0.07484567901234568
shallow_convnet,Shallow ConvNet,right_hand,tongue,115,0.08873456790123457
shallow_convnet,Shallow ConvNet,feet,left_hand,117,0.09027777777777778
shallow_convnet,Shallow ConvNet,feet,right_hand,147,0.11342592592592593
shallow_convnet,Shallow ConvNet,feet,feet,824,0.6358024691358025
shallow_convnet,Shallow ConvNet,feet,tongue,208,0.16049382716049382
shallow_convnet,Shallow ConvNet,tongue,left_hand,98,0.07561728395061729
shallow_convnet,Shallow ConvNet,tongue,right_hand,108,0.08333333333333333
shallow_convnet,Shallow ConvNet,tongue,feet,224,0.1728395061728395
shallow_convnet,Shallow ConvNet,tongue,tongue,866,0.6682098765432098
riemann_tslr,Riemann-TSLR,left_hand,left_hand,860,0.6635802469135802
riemann_tslr,Riemann-TSLR,left_hand,right_hand,225,0.1736111111111111
riemann_tslr,Riemann-TSLR,left_hand,feet,123,0.09490740740740741
riemann_tslr,Riemann-TSLR,left_hand,tongue,88,0.06790123456790123
riemann_tslr,Riemann-TSLR,right_hand,left_hand,220,0.1697530864197531
riemann_tslr,Riemann-TSLR,right_hand,right_hand,855,0.6597222222222222
riemann_tslr,Riemann-TSLR,right_hand,feet,107,0.08256172839506173
riemann_tslr,Riemann-TSLR,right_hand,tongue,114,0.08796296296296297
riemann_tslr,Riemann-TSLR,feet,left_hand,115,0.08873456790123457
riemann_tslr,Riemann-TSLR,feet,right_hand,110,0.08487654320987655
riemann_tslr,Riemann-TSLR,feet,feet,889,0.6859567901234568
riemann_tslr,Riemann-TSLR,feet,tongue,182,0.1404320987654321
riemann_tslr,Riemann-TSLR,tongue,left_hand,86,0.06635802469135803
riemann_tslr,Riemann-TSLR,tongue,right_hand,103,0.07947530864197531
riemann_tslr,Riemann-TSLR,tongue,feet,195,0.15046296296296297
riemann_tslr,Riemann-TSLR,tongue,tongue,912,0.7037037037037037
eegnet,EEGNet,left_hand,left_hand,795,0.6134259259259259
eegnet,EEGNet,left_hand,right_hand,236,0.18209876543209877
eegnet,EEGNet,left_hand,feet,105,0.08101851851851852
eegnet,EEGNet,left_hand,tongue,160,0.12345679012345678
eegnet,EEGNet,right_hand,left_hand,312,0.24074074074074073
eegnet,EEGNet,right_hand,right_hand,680,0.5246913580246914
eegnet,EEGNet,right_hand,feet,125,0.09645061728395062
eegnet,EEGNet,right_hand,tongue,179,0.1381172839506173
eegnet,EEGNet,feet,left_hand,298,0.22993827160493827
eegnet,EEGNet,feet,right_hand,179,0.1381172839506173
eegnet,EEGNet,feet,feet,459,0.3541666666666667
eegnet,EEGNet,feet,tongue,360,0.2777777777777778
eegnet,EEGNet,tongue,left_hand,145,0.11188271604938271
eegnet,EEGNet,tongue,right_hand,132,0.10185185185185185
eegnet,EEGNet,tongue,feet,216,0.16666666666666666
eegnet,EEGNet,tongue,tongue,803,0.6195987654320988
cfc,CfC-style,left_hand,left_hand,712,0.5493827160493827
cfc,CfC-style,left_hand,right_hand,244,0.1882716049382716
cfc,CfC-style,left_hand,feet,184,0.1419753086419753
cfc,CfC-style,left_hand,tongue,156,0.12037037037037036
cfc,CfC-style,right_hand,left_hand,308,0.23765432098765432
cfc,CfC-style,right_hand,right_hand,630,0.4861111111111111
cfc,CfC-style,right_hand,feet,174,0.13425925925925927
cfc,CfC-style,right_hand,tongue,184,0.1419753086419753
cfc,CfC-style,feet,left_hand,230,0.17746913580246915
cfc,CfC-style,feet,right_hand,241,0.18595679012345678
