subject,model,model_display,class_name,f1
1,cfc,CfC-style,left_hand,0.5352112676056338
1,cfc,CfC-style,right_hand,0.7062937062937062
1,cfc,CfC-style,feet,0.3968871595330739
1,cfc,CfC-style,tongue,0.64
1,eegnet,EEGNet,left_hand,0.6115702479338843
1,eegnet,EEGNet,right_hand,0.7762039660056658
1,eegnet,EEGNet,feet,0.4774774774774775
1,eegnet,EEGNet,tongue,0.7402985074626866
1,hybrid_cfc,Hybrid-CfC-style,left_hand,0.6690909090909091
1,hybrid_cfc,Hybrid-CfC-style,right_hand,0.756578947368421
1,hybrid_cfc,Hybrid-CfC-style,feet,0.6384364820846905
1,hybrid_cfc,Hybrid-CfC-style,tongue,0.6842105263157895
1,lstm,LSTM,left_hand,0.5597269624573379
1,lstm,LSTM,right_hand,0.6546762589928058
1,lstm,LSTM,feet,0.3898916967509025
1,lstm,LSTM,tongue,0.5789473684210527
1,riemann_tslr,Riemann-TSLR,left_hand,0.7862068965517242
1,riemann_tslr,Riemann-TSLR,right_hand,0.815068493150685
1,riemann_tslr,Riemann-TSLR,feet,0.7440273037542662
1,riemann_tslr,Riemann-TSLR,tongue,0.7364620938628159
1,shallow_convnet,Shallow ConvNet,left_hand,0.7789473684210526
1,shallow_convnet,Shallow ConvNet,right_hand,0.8157894736842105
1,shallow_convnet,Shallow ConvNet,feet,0.6074074074074074
1,shallow_convnet,Shallow ConvNet,tongue,0.7167235494880546
1,tiny_transformer,Tiny-Transformer,left_hand,0.6268656716417911
1,tiny_transformer,Tiny-Transformer,right_hand,0.7350993377483444
1,tiny_transformer,Tiny-Transformer,feet,0.48175182481751827
1,tiny_transformer,Tiny-Transformer,tongue,0.6883116883116883
2,cfc,CfC-style,left_hand,0.2857142857142857
2,cfc,CfC-style,right_hand,0.313953488372093
2,cfc,CfC-style,feet,0.21395348837209302
2,cfc,CfC-style,tongue,0.21212121212121213
2,eegnet,EEGNet,left_hand,0.2727272727272727
2,eegnet,EEGNet,right_hand,0.2661596958174905
2,eegnet,EEGNet,feet,0.42657342657342656
2,eegnet,EEGNet,tongue,0.33240997229916897
2,hybrid_cfc,Hybrid-CfC-style,left_hand,0.24444444444444444
2,hybrid_cfc,Hybrid-CfC-style,right_hand,0.343042071197411
2,hybrid_cfc,Hybrid-CfC-style,feet,0.6327272727272727
2,hybrid_cfc,Hybrid-CfC-style,tongue,0.3422818791946309
2,lstm,LSTM,left_hand,0.23904382470119523
2,lstm,LSTM,right_hand,0.2795031055900621
2,lstm,LSTM,feet,0.26506024096385544
2,lstm,LSTM,tongue,0.19393939393939394
2,riemann_tslr,Riemann-TSLR,left_hand,0.4731182795698925
2,riemann_tslr,Riemann-TSLR,right_hand,0.4882943143812709
2,riemann_tslr,Riemann-TSLR,feet,0.7087719298245614
2,riemann_tslr,Riemann-TSLR,tongue,0.615916955017301
2,shallow_convnet,Shallow ConvNet,left_hand,0.38596491228070173
2,shallow_convnet,Shallow ConvNet,right_hand,0.38977635782747605
2,shallow_convnet,Shallow ConvNet,feet,0.647887323943662
2,shallow_convnet,Shallow ConvNet,tongue,0.4222222222222222
2,tiny_transformer,Tiny-Transformer,left_hand,0.26515151515151514
2,tiny_transformer,Tiny-Transformer,right_hand,0.2847457627118644
2,tiny_transformer,Tiny-Transformer,feet,0.6037735849056604
2,tiny_transformer,Tiny-Transformer,tongue,0.3781818181818182
3,cfc,CfC-style,left_hand,0.7286245353159851
3,cfc,CfC-style,right_hand,0.8316831683168316
3,cfc,CfC-style,feet,0.4233576642335766
3,cfc,CfC-style,tongue,0.6993464052287581
3,eegnet,EEGNet,left_hand,0.8
3,eegnet,EEGNet,right_hand,0.8745980707395499
3,eegnet,EEGNet,feet,0.3696682464454976
3,eegnet,EEGNet,tongue,0.7619047619047619
3,hybrid_cfc,Hybrid-CfC-style,left_hand,0.8013468013468014
3,hybrid_cfc,Hybrid-CfC-style,right_hand,0.8571428571428571
3,hybrid_cfc,Hybrid-CfC-style,feet,0.49097472924187724
3,hybrid_cfc,Hybrid-CfC-style,tongue,0.6787003610108303
3,lstm,LSTM,left_hand,0.6013513513513513
3,lstm,LSTM,right_hand,0.6524822695035462
3,lstm,LSTM,feet,0.35294117647058826
3,lstm,LSTM,tongue,0.6394984326018809
3,riemann_tslr,Riemann-TSLR,left_hand,0.8888888888888888
3,riemann_tslr,Riemann-TSLR,right_hand,0.9097222222222222
3,riemann_tslr,Riemann-TSLR,feet,0.7960526315789473
3,riemann_tslr,Riemann-TSLR,tongue,0.7867647058823529
3,shallow_convnet,Shallow ConvNet,left_hand,0.9183673469387755
3,shallow_convnet,Shallow ConvNet,right_hand,0.9440559440559441
3,shallow_convnet,Shallow ConvNet,feet,0.7932203389830509
3,shallow_convnet,Shallow ConvNet,tongue,0.8231046931407943
3,tiny_transformer,Tiny-Transformer,left_hand,0.7092198581560284
3,tiny_transformer,Tiny-Transformer,right_hand,0.7638888888888888
3,tiny_transformer,Tiny-Transformer,feet,0.4626865671641791
3,tiny_transformer,Tiny-Transformer,tongue,0.643312101910828
4,cfc,CfC-style,left_hand,0.4870848708487085
4,cfc,CfC-style,right_hand,0.34615384615384615
4,cfc,CfC-style,feet,0.32941176470588235
4,cfc,CfC-style,tongue,0.3885350318471338
4,eegnet,EEGNet,left_hand,0.5128205128205128
4,eegnet,EEGNet,right_hand,0.3474576271186441
4,eegnet,EEGNet,feet,0.3923076923076923
4,eegnet,EEGNet,tongue,0.43609022556390975
4,hybrid_cfc,Hybrid-CfC-style,left_hand,0.42406876790830944
4,hybrid_cfc,Hybrid-CfC-style,right_hand,0.3904109589041096
4,hybrid_cfc,Hybrid-CfC-style,feet,0.3346303501945525
4,hybrid_cfc,Hybrid-CfC-style,tongue,0.33858267716535434
4,lstm,LSTM,left_hand,0.48125
4,lstm,LSTM,right_hand,0.25196850393700787
4,lstm,LSTM,feet,0.24166666666666667
4,lstm,LSTM,tongue,0.40236686390532544
4,riemann_tslr,Riemann-TSLR,left_hand,0.6440677966101694
4,riemann_tslr,Riemann-TSLR,right_hand,0.6308243727598566
4,riemann_tslr,Riemann-TSLR,feet,0.6338028169014085
4,riemann_tslr,Riemann-TSLR,tongue,0.6598639455782312
4,shallow_convnet,Shallow ConvNet,left_hand,0.58
4,shallow_convnet,Shallow ConvNet,right_hand,0.5591397849462365
4,shallow_convnet,Shallow ConvNet,feet,0.6285714285714286
4,shallow_convnet,Shallow ConvNet,tongue,0.621160409556314
4,tiny_transformer,Tiny-Transformer,left_hand,0.5426829268292683
4,tiny_transformer,Tiny-Transformer,right_hand,0.44787644787644787
4,tiny_transformer,Tiny-Transformer,feet,0.47249190938511326
4,tiny_transformer,Tiny-Transformer,tongue,0.359375
5,cfc,CfC-style,left_hand,0.36470588235294116
5,cfc,CfC-style,right_hand,0.27611940298507465
