model,model_display,class_name,f1_mean,f1_std
cfc,CfC-style,feet,0.3733316145346693,0.09559334965978324
cfc,CfC-style,left_hand,0.5334601477783933,0.1823167016774244
cfc,CfC-style,right_hand,0.4889189959384781,0.2150456297414557
cfc,CfC-style,tongue,0.5098616501954839,0.18760578102538983
eegnet,EEGNet,feet,0.41461346412478,0.10512872136648713
eegnet,EEGNet,left_hand,0.5540089601877307,0.20944042513224215
eegnet,EEGNet,right_hand,0.5175200273085425,0.24550295933489827
eegnet,EEGNet,tongue,0.5751852812685078,0.20316718860145858
hybrid_cfc,Hybrid-CfC-style,feet,0.47062323237117304,0.1703835511993056
hybrid_cfc,Hybrid-CfC-style,left_hand,0.5461421773188635,0.22587952371718276
hybrid_cfc,Hybrid-CfC-style,right_hand,0.5057677097371455,0.25684492035672657
hybrid_cfc,Hybrid-CfC-style,tongue,0.542065553128374,0.20224554933214337
lstm,LSTM,feet,0.2729058115107792,0.08789816492045402
lstm,LSTM,left_hand,0.44954450654625255,0.15869634030788696
lstm,LSTM,right_hand,0.39863741151832094,0.1817376676145592
lstm,LSTM,tongue,0.4817402627544104,0.17254588362769846
riemann_tslr,Riemann-TSLR,feet,0.6794703894333731,0.12145576201452749
riemann_tslr,Riemann-TSLR,left_hand,0.6659743818541028,0.1686401803262404
riemann_tslr,Riemann-TSLR,right_hand,0.6608557014567635,0.16225659985126883
riemann_tslr,Riemann-TSLR,tongue,0.7057084241183533,0.12039674206346426
shallow_convnet,Shallow ConvNet,feet,0.6454280580741627,0.17284897287852086
shallow_convnet,Shallow ConvNet,left_hand,0.6747474969555777,0.20835431871899784
shallow_convnet,Shallow ConvNet,right_hand,0.6496136096446878,0.20062010302437858
shallow_convnet,Shallow ConvNet,tongue,0.673399125453084,0.16979698794372097
tiny_transformer,Tiny-Transformer,feet,0.4791907007413957,0.09406244426026407
tiny_transformer,Tiny-Transformer,left_hand,0.5451176481181378,0.18081445713962727
tiny_transformer,Tiny-Transformer,right_hand,0.4882097132541051,0.21035252431131995
tiny_transformer,Tiny-Transformer,tongue,0.5341949705776371,0.1678275170661859
