model,model_display,class_name,f1_mean,f1_std
cfc,CfC-style,feet,0.44174272608790477,0.07226341953339734
cfc,CfC-style,left_hand,0.549862567323191,0.1859785220564624
cfc,CfC-style,right_hand,0.4775677251590691,0.2693993856856307
cfc,CfC-style,tongue,0.5402134686733212,0.17432608669236413
eegnet,EEGNet,feet,0.47949354100246083,0.15869854129584043
eegnet,EEGNet,left_hand,0.533232677553455,0.26565987838701993
eegnet,EEGNet,right_hand,0.5293635149128331,0.2676986628183607
eegnet,EEGNet,tongue,0.6060534227261324,0.1983354177297744
hybrid_cfc,Hybrid-CfC-style,feet,0.4920948856035606,0.1643233328662259
hybrid_cfc,Hybrid-CfC-style,left_hand,0.5505647127904632,0.26051883730967496
hybrid_cfc,Hybrid-CfC-style,right_hand,0.5418709975337523,0.25115661795652977
hybrid_cfc,Hybrid-CfC-style,tongue,0.5397483746146966,0.2378595917776601
lstm,LSTM,feet,0.3371073706837153,0.10249727979774516
lstm,LSTM,left_hand,0.4594976238648024,0.1623572754411871
lstm,LSTM,right_hand,0.4137316787982861,0.1949793938043478
lstm,LSTM,tongue,0.4888204136128845,0.17149134759229065
riemann_tslr,Riemann-TSLR,feet,0.686920249277138,0.13763527390353672
riemann_tslr,Riemann-TSLR,left_hand,0.6720517645103166,0.1679099483006383
riemann_tslr,Riemann-TSLR,right_hand,0.667533700691931,0.18072454227387846
riemann_tslr,Riemann-TSLR,tongue,0.7046231413619746,0.14683353541683364
shallow_convnet,Shallow ConvNet,feet,0.6747912306283668,0.17644355933415165
shallow_convnet,Shallow ConvNet,left_hand,0.6977333813939117,0.21026385569738137
shallow_convnet,Shallow ConvNet,right_hand,0.6893498827948151,0.1826678839663039
shallow_convnet,Shallow ConvNet,tongue,0.6944278846498283,0.1633918235678838
tiny_transformer,Tiny-Transformer,feet,0.46436037240256867,0.13370941990952684
tiny_transformer,Tiny-Transformer,left_hand,0.5306200459099882,0.2085067117521454
tiny_transformer,Tiny-Transformer,right_hand,0.520106867192194,0.17822404118350474
tiny_transformer,Tiny-Transformer,tongue,0.5636994810624084,0.17343550956688547
