model,model_display,true_label,pred_label,count,row_normalized
shallow_convnet,Shallow ConvNet,left_hand,left_hand,897,0.6921296296296297
shallow_convnet,Shallow ConvNet,left_hand,right_hand,217,0.16743827160493827
shallow_convnet,Shallow ConvNet,left_hand,feet,90,0.06944444444444445
shallow_convnet,Shallow ConvNet,left_hand,tongue,92,0.07098765432098765
shallow_convnet,Shallow ConvNet,right_hand,left_hand,193,0.14891975308641975
shallow_convnet,Shallow ConvNet,right_hand,right_hand,907,0.6998456790123457
shallow_convnet,Shallow ConvNet,right_hand,feet,91,0.07021604938271606
shallow_convnet,Shallow ConvNet,right_hand,tongue,105,0.08101851851851852
shallow_convnet,Shallow ConvNet,feet,left_hand,103,0.07947530864197531
shallow_convnet,Shallow ConvNet,feet,right_hand,133,0.10262345679012345
shallow_convnet,Shallow ConvNet,feet,feet,848,0.654320987654321
shallow_convnet,Shallow ConvNet,feet,tongue,212,0.16358024691358025
shallow_convnet,Shallow ConvNet,tongue,left_hand,79,0.06095679012345679
shallow_convnet,Shallow ConvNet,tongue,right_hand,117,0.09027777777777778
shallow_convnet,Shallow ConvNet,tongue,feet,188,0.14506172839506173
shallow_convnet,Shallow ConvNet,tongue,tongue,912,0.7037037037037037
riemann_tslr,Riemann-TSLR,left_hand,left_hand,866,0.6682098765432098
riemann_tslr,Riemann-TSLR,left_hand,right_hand,212,0.16358024691358025
riemann_tslr,Riemann-TSLR,left_hand,feet,117,0.09027777777777778
riemann_tslr,Riemann-TSLR,left_hand,tongue,101,0.0779320987654321
riemann_tslr,Riemann-TSLR,right_hand,left_hand,216,0.16666666666666666
riemann_tslr,Riemann-TSLR,right_hand,right_hand,867,0.6689814814814815
riemann_tslr,Riemann-TSLR,right_hand,feet,105,0.08101851851851852
riemann_tslr,Riemann-TSLR,right_hand,tongue,108,0.08333333333333333
riemann_tslr,Riemann-TSLR,feet,left_hand,110,0.08487654320987655
riemann_tslr,Riemann-TSLR,feet,right_hand,115,0.08873456790123457
riemann_tslr,Riemann-TSLR,feet,feet,884,0.6820987654320988
riemann_tslr,Riemann-TSLR,feet,tongue,187,0.14429012345679013
riemann_tslr,Riemann-TSLR,tongue,left_hand,89,0.06867283950617284
riemann_tslr,Riemann-TSLR,tongue,right_hand,113,0.08719135802469136
riemann_tslr,Riemann-TSLR,tongue,feet,172,0.13271604938271606
riemann_tslr,Riemann-TSLR,tongue,tongue,922,0.7114197530864198
eegnet,EEGNet,left_hand,left_hand,847,0.6535493827160493
eegnet,EEGNet,left_hand,right_hand,203,0.1566358024691358
eegnet,EEGNet,left_hand,feet,113,0.08719135802469136
eegnet,EEGNet,left_hand,tongue,133,0.10262345679012345
eegnet,EEGNet,right_hand,left_hand,325,0.2507716049382716
eegnet,EEGNet,right_hand,right_hand,692,0.5339506172839507
eegnet,EEGNet,right_hand,feet,140,0.10802469135802469
eegnet,EEGNet,right_hand,tongue,139,0.10725308641975309
eegnet,EEGNet,feet,left_hand,273,0.21064814814814814
eegnet,EEGNet,feet,right_hand,158,0.12191358024691358
eegnet,EEGNet,feet,feet,552,0.42592592592592593
eegnet,EEGNet,feet,tongue,313,0.24151234567901234
eegnet,EEGNet,tongue,left_hand,171,0.13194444444444445
eegnet,EEGNet,tongue,right_hand,114,0.08796296296296297
eegnet,EEGNet,tongue,feet,208,0.16049382716049382
eegnet,EEGNet,tongue,tongue,803,0.6195987654320988
mi_mamba,MI-Mamba-style,left_hand,left_hand,812,0.6265432098765432
mi_mamba,MI-Mamba-style,left_hand,right_hand,239,0.18441358024691357
mi_mamba,MI-Mamba-style,left_hand,feet,90,0.06944444444444445
mi_mamba,MI-Mamba-style,left_hand,tongue,155,0.11959876543209877
mi_mamba,MI-Mamba-style,right_hand,left_hand,262,0.2021604938271605
mi_mamba,MI-Mamba-style,right_hand,right_hand,795,0.6134259259259259
mi_mamba,MI-Mamba-style,right_hand,feet,93,0.07175925925925926
mi_mamba,MI-Mamba-style,right_hand,tongue,146,0.11265432098765432
mi_mamba,MI-Mamba-style,feet,left_hand,205,0.15817901234567902
