subject,model,accuracy,f1
1,ss_cfc,54.673163418290855,0.5421402354059898
1,ss_head,63.8815592203898,0.628652328638322
2,ss_cfc,26.397301349325335,0.22478645064559172
2,ss_head,23.26086956521739,0.18814995835049209
3,ss_cfc,63.194902548725636,0.6254530088093355
3,ss_head,70.31784107946027,0.6921457790095602
4,ss_cfc,32.11394302848576,0.30408188316767265
4,ss_head,36.635682158920545,0.35422023392590396
5,ss_cfc,24.656671664167916,0.19427416433270633
5,ss_head,24.998500749625187,0.21638978098255635
6,ss_cfc,32.11244377811094,0.29941867656938914
6,ss_head,40.10494752623688,0.3919826137148615
7,ss_cfc,38.71364317841079,0.3435122118541187
7,ss_head,39.412293853073464,0.36460574247018185
8,ss_cfc,47.59070464767616,0.4618562829035591
8,ss_head,63.71964017991005,0.6320220691614046
9,ss_cfc,59.03298350824588,0.5838722000767262
9,ss_head,64.94302848575713,0.6365052345823041
