subject,model,model_display,class_name,f1
1,cfc,CfC-style,left_hand,0.4492753623188406
1,cfc,CfC-style,right_hand,0.6412213740458015
1,cfc,CfC-style,feet,0.3063063063063063
1,cfc,CfC-style,tongue,0.6224489795918368
1,eegnet,EEGNet,left_hand,0.5585585585585585
1,eegnet,EEGNet,right_hand,0.8160919540229885
1,eegnet,EEGNet,feet,0.47540983606557374
1,eegnet,EEGNet,tongue,0.6863905325443787
1,hybrid_cfc,Hybrid-CfC-style,left_hand,0.3963963963963964
1,hybrid_cfc,Hybrid-CfC-style,right_hand,0.7325581395348837
1,hybrid_cfc,Hybrid-CfC-style,feet,0.5529411764705883
1,hybrid_cfc,Hybrid-CfC-style,tongue,0.5691056910569106
1,lstm,LSTM,left_hand,0.4307692307692308
1,lstm,LSTM,right_hand,0.5538461538461539
1,lstm,LSTM,feet,0.3717948717948718
1,lstm,LSTM,tongue,0.5375
1,riemann_tslr,Riemann-TSLR,left_hand,0.7794117647058824
1,riemann_tslr,Riemann-TSLR,right_hand,0.8226950354609929
1,riemann_tslr,Riemann-TSLR,feet,0.7183098591549296
1,riemann_tslr,Riemann-TSLR,tongue,0.7388535031847133
1,shallow_convnet,Shallow ConvNet,left_hand,0.7975460122699386
1,shallow_convnet,Shallow ConvNet,right_hand,0.7936507936507936
1,shallow_convnet,Shallow ConvNet,feet,0.5454545454545454
1,shallow_convnet,Shallow ConvNet,tongue,0.6580645161290323
1,tiny_transformer,Tiny-Transformer,left_hand,0.43902439024390244
1,tiny_transformer,Tiny-Transformer,right_hand,0.6883116883116883
1,tiny_transformer,Tiny-Transformer,feet,0.3770491803278688
1,tiny_transformer,Tiny-Transformer,tongue,0.632768361581921
2,cfc,CfC-style,left_hand,0.13559322033898305
2,cfc,CfC-style,right_hand,0.35374149659863946
2,cfc,CfC-style,feet,0.5025641025641026
2,cfc,CfC-style,tongue,0.29310344827586204
2,eegnet,EEGNet,left_hand,0.3884297520661157
2,eegnet,EEGNet,right_hand,0.17307692307692307
2,eegnet,EEGNet,feet,0.3088235294117647
2,eegnet,EEGNet,tongue,0.1276595744680851
2,hybrid_cfc,Hybrid-CfC-style,left_hand,0.3333333333333333
2,hybrid_cfc,Hybrid-CfC-style,right_hand,0.25925925925925924
2,hybrid_cfc,Hybrid-CfC-style,feet,0.675
2,hybrid_cfc,Hybrid-CfC-style,tongue,0.2459016393442623
2,lstm,LSTM,left_hand,0.1834862385321101
2,lstm,LSTM,right_hand,0.29743589743589743
2,lstm,LSTM,feet,0.2204724409448819
2,lstm,LSTM,tongue,0.20689655172413793
2,riemann_tslr,Riemann-TSLR,left_hand,0.33962264150943394
2,riemann_tslr,Riemann-TSLR,right_hand,0.297029702970297
2,riemann_tslr,Riemann-TSLR,feet,0.5957446808510638
2,riemann_tslr,Riemann-TSLR,tongue,0.5373134328358209
2,shallow_convnet,Shallow ConvNet,left_hand,0.4583333333333333
2,shallow_convnet,Shallow ConvNet,right_hand,0.3851851851851852
2,shallow_convnet,Shallow ConvNet,feet,0.6909090909090909
2,shallow_convnet,Shallow ConvNet,tongue,0.19047619047619047
2,tiny_transformer,Tiny-Transformer,left_hand,0.27586206896551724
2,tiny_transformer,Tiny-Transformer,right_hand,0.1941747572815534
2,tiny_transformer,Tiny-Transformer,feet,0.5297297297297298
2,tiny_transformer,Tiny-Transformer,tongue,0.3488372093023256
3,cfc,CfC-style,left_hand,0.6456692913385826
3,cfc,CfC-style,right_hand,0.7083333333333334
3,cfc,CfC-style,feet,0.3225806451612903
