model,model_display,class_name,f1_mean,f1_std
cfc,CfC-style,feet,0.30720582547534564,0.09039491460893506
cfc,CfC-style,left_hand,0.48730876866925943,0.22228226229133355
cfc,CfC-style,right_hand,0.36600643003116506,0.24777261275305476
cfc,CfC-style,tongue,0.49478478095264866,0.14519909538835557
eegnet,EEGNet,feet,0.31672534561125426,0.1013578505520024
eegnet,EEGNet,left_hand,0.44815809093894937,0.21363851592626892
eegnet,EEGNet,right_hand,0.455927887436288,0.22997282660672388
eegnet,EEGNet,tongue,0.5035588935664861,0.2012304028979395
hybrid_cfc,Hybrid-CfC-style,feet,0.430232123652762,0.16748926804193107
hybrid_cfc,Hybrid-CfC-style,left_hand,0.5037041052717859,0.22438622330476762
hybrid_cfc,Hybrid-CfC-style,right_hand,0.4588924987357586,0.2367004180628511
hybrid_cfc,Hybrid-CfC-style,tongue,0.4607819959613633,0.1917648553159749
lstm,LSTM,feet,0.261137440148779,0.08458515476587598
lstm,LSTM,left_hand,0.32871684894431835,0.17389671467523263
lstm,LSTM,right_hand,0.4000971903925969,0.13954393935780263
lstm,LSTM,tongue,0.4356833223339034,0.21933274149453416
riemann_tslr,Riemann-TSLR,feet,0.617667472623817,0.08435638984885414
riemann_tslr,Riemann-TSLR,left_hand,0.567360064278,0.17492463714873935
riemann_tslr,Riemann-TSLR,right_hand,0.6106720063581019,0.20987836335525328
riemann_tslr,Riemann-TSLR,tongue,0.6716178516223904,0.14835926245576225
shallow_convnet,Shallow ConvNet,feet,0.5843002186796461,0.14055254505075518
shallow_convnet,Shallow ConvNet,left_hand,0.6519554040873364,0.19601640124034575
shallow_convnet,Shallow ConvNet,right_hand,0.6127352194467541,0.1830924857880854
shallow_convnet,Shallow ConvNet,tongue,0.5862704728277102,0.19644231817929173
tiny_transformer,Tiny-Transformer,feet,0.3676049969829043,0.09423786715238851
tiny_transformer,Tiny-Transformer,left_hand,0.4944394089283171,0.2290234359677356
tiny_transformer,Tiny-Transformer,right_hand,0.39058496016877897,0.24006403980095214
tiny_transformer,Tiny-Transformer,tongue,0.4777756613736002,0.17554181135755004
