seed,split_seed,train_seed,subject,model,model_display,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c
42,3329053876,2134191843,1,cfc,CfC-style,48.61111111111111,0.4660883691751578,51.0,63.63636363636363,0.95022451877594,
42,3329053876,2134191843,1,eegnet,EEGNet,60.06944444444444,0.5738567750401997,43.0,59.09090909090909,0.9059266448020936,
42,3329053876,2134191843,1,lstm,LSTM,52.43055555555556,0.5153766887217952,49.0,56.81818181818182,1.0587077140808103,
42,3329053876,2134191843,1,riemann_tslr,Riemann-TSLR,76.73611111111111,0.766791272768852,,75.0,,10.0
42,3329053876,2134191843,1,shallow_convnet,Shallow ConvNet,71.52777777777779,0.7156451551343728,35.0,77.27272727272727,0.6484087109565735,
42,955475868,1385871029,2,cfc,CfC-style,34.72222222222222,0.3143319156413691,57.0,47.72727272727273,1.3126518726348877,
42,955475868,1385871029,2,eegnet,EEGNet,27.77777777777778,0.2394327440033306,21.0,38.63636363636363,1.3693581819534302,
42,955475868,1385871029,2,lstm,LSTM,26.73611111111111,0.2504649455936221,64.0,45.45454545454545,1.44042706489563,
42,955475868,1385871029,2,riemann_tslr,Riemann-TSLR,53.125,0.5125325015061674,,52.27272727272727,,0.1
42,955475868,1385871029,2,shallow_convnet,Shallow ConvNet,42.70833333333333,0.395258515268443,28.0,52.27272727272727,1.320434331893921,
42,2541583436,2958905532,3,cfc,CfC-style,52.083333333333336,0.4472737972233336,14.0,61.36363636363637,1.1786938905715942,
42,2541583436,2958905532,3,eegnet,EEGNet,64.23611111111111,0.5928452019588761,41.0,70.45454545454545,0.9600483179092408,
42,2541583436,2958905532,3,lstm,LSTM,49.30555555555556,0.4682845283909113,28.0,61.36363636363637,1.1044716835021973,
42,2541583436,2958905532,3,riemann_tslr,Riemann-TSLR,80.90277777777779,0.7966742092859849,,81.81818181818183,,0.1
42,2541583436,2958905532,3,shallow_convnet,Shallow ConvNet,80.55555555555556,0.7959551440316551,46.0,81.81818181818183,0.7202997803688049,
42,964687612,4104139034,4,cfc,CfC-style,36.45833333333333,0.2992233616911697,10.0,40.909090909090914,1.3754671812057495,
42,964687612,4104139034,4,eegnet,EEGNet,40.97222222222222,0.3978436031152493,22.0,45.45454545454545,1.337321400642395,
42,964687612,4104139034,4,lstm,LSTM,40.27777777777778,0.3430921296149131,26.0,36.36363636363637,1.4176770448684692,
42,964687612,4104139034,4,riemann_tslr,Riemann-TSLR,56.25,0.5642546105232673,,45.45454545454545,,0.1
42,964687612,4104139034,4,shallow_convnet,Shallow ConvNet,51.04166666666666,0.5117089323623634,13.0,61.36363636363637,1.1829968690872192,
42,2103693821,717659619,5,cfc,CfC-style,25.0,0.2220560960345906,16.0,40.909090909090914,1.3752143383026123,
42,2103693821,717659619,5,eegnet,EEGNet,29.86111111111111,0.2892880685563612,57.0,50.0,1.3509656190872192,
42,2103693821,717659619,5,lstm,LSTM,25.0,0.1563977754844628,17.0,36.36363636363637,1.3780481815338137,
42,2103693821,717659619,5,riemann_tslr,Riemann-TSLR,39.93055555555556,0.361480830838654,,36.36363636363637,,1.0
42,2103693821,717659619,5,shallow_convnet,Shallow ConvNet,32.29166666666667,0.3187952343657527,28.0,45.45454545454545,1.4001004695892334,
42,709256125,1446345575,6,cfc,CfC-style,30.55555555555556,0.2270579971535139,5.0,43.18181818181818,1.3752423524856567,
42,709256125,1446345575,6,eegnet,EEGNet,43.40277777777778,0.4169174438084286,34.0,45.45454545454545,1.304711937904358,
42,709256125,1446345575,6,lstm,LSTM,26.73611111111111,0.2293357434213367,9.0,36.36363636363637,1.3818615674972534,
42,709256125,1446345575,6,riemann_tslr,Riemann-TSLR,48.26388888888889,0.4576598721335564,,47.72727272727273,,0.1
42,709256125,1446345575,6,shallow_convnet,Shallow ConvNet,45.48611111111111,0.4562780073482458,30.0,45.45454545454545,1.390758037567139,
42,1955881634,891417746,7,cfc,CfC-style,40.27777777777778,0.3643294468963397,30.0,54.54545454545454,1.2607049942016602,
42,1955881634,891417746,7,eegnet,EEGNet,36.80555555555556,0.3027201715707032,80.0,59.09090909090909,1.0420092344284058,
42,1955881634,891417746,7,lstm,LSTM,35.41666666666667,0.2819110231157139,11.0,40.909090909090914,1.3575091361999512,
42,1955881634,891417746,7,riemann_tslr,Riemann-TSLR,67.36111111111111,0.6587991620213215,,81.81818181818183,,10.0
42,1955881634,891417746,7,shallow_convnet,Shallow ConvNet,65.27777777777779,0.6301311645661154,38.0,68.18181818181817,1.0600394010543823,
42,3117874100,1387044731,8,cfc,CfC-style,62.84722222222222,0.6212767495662233,74.0,79.54545454545455,0.7969772815704346,
42,3117874100,1387044731,8,eegnet,EEGNet,68.75,0.679519648613773,74.0,75.0,0.7607231736183167,
42,3117874100,1387044731,8,lstm,LSTM,39.93055555555556,0.3731034503057019,29.0,50.0,1.1668699979782104,
42,3117874100,1387044731,8,riemann_tslr,Riemann-TSLR,70.13888888888889,0.7047813067854533,,88.63636363636364,,10.0
42,3117874100,1387044731,8,shallow_convnet,Shallow ConvNet,71.52777777777779,0.7098602959158719,41.0,81.81818181818183,0.5033870935440063,
42,3918529139,2161680784,9,cfc,CfC-style,60.41666666666666,0.5749779876956256,52.0,61.36363636363637,1.0625094175338743,
42,3918529139,2161680784,9,eegnet,EEGNet,62.5,0.5903910528811731,68.0,61.36363636363637,0.9029269814491272,
42,3918529139,2161680784,9,lstm,LSTM,45.13888888888889,0.4016510085659022,18.0,52.27272727272727,1.2054674625396729,
42,3918529139,2161680784,9,riemann_tslr,Riemann-TSLR,69.79166666666666,0.7025405361229159,,75.0,,0.1
42,3918529139,2161680784,9,shallow_convnet,Shallow ConvNet,72.22222222222221,0.71432851729838,45.0,81.81818181818183,0.4481298327445984,
43,2428068368,1806570843,1,cfc,CfC-style,48.95833333333333,0.4825495068197648,47.0,65.9090909090909,0.8178011178970337,
43,2428068368,1806570843,1,eegnet,EEGNet,61.80555555555556,0.5920801650858715,62.0,65.9090909090909,0.7878536581993103,
43,2428068368,1806570843,1,lstm,LSTM,44.44444444444444,0.432003306446464,60.0,56.81818181818182,0.9359392523765564,
43,2428068368,1806570843,1,riemann_tslr,Riemann-TSLR,78.81944444444444,0.7887712599962637,,79.54545454545455,,0.1
43,2428068368,1806570843,1,shallow_convnet,Shallow ConvNet,74.65277777777779,0.7458717129788142,32.0,77.27272727272727,0.6573871970176697,
