subject,class_name,window,tau_mean
1,feet,early,1.480927644530722
1,left_hand,early,1.5313729519119759
1,right_hand,early,1.4513195498700284
1,tongue,early,1.4631647903084546
2,feet,early,1.006324835095351
2,left_hand,early,1.0063001002584187
2,right_hand,early,1.0061654984898458
2,tongue,early,1.0061277214444293
3,feet,early,1.8070903733977144
3,left_hand,early,1.8142657849471193
3,right_hand,early,1.795079390891225
3,tongue,early,1.7669561439090304
4,feet,early,1.690730669274532
4,left_hand,early,1.6875305922416153
4,right_hand,early,1.6991329624381646
4,tongue,early,1.6861112651528505
5,feet,early,1.0848585615292639
5,left_hand,early,1.0856128362068214
5,right_hand,early,1.0847131643293184
5,tongue,early,1.083670133662392
6,feet,early,1.1219059547813481
6,left_hand,early,1.1239582647879918
6,right_hand,early,1.1188541475348373
6,tongue,early,1.1197119988960984
7,feet,early,1.453832114434011
7,left_hand,early,1.4280608159209054
7,right_hand,early,1.4480363951578763
7,tongue,early,1.4447613941140907
8,feet,early,2.1097110858091814
8,left_hand,early,2.1327739492505526
8,right_hand,early,2.1190331832126335
8,tongue,early,2.1832949387228258
9,feet,early,1.476801618092695
9,left_hand,early,1.473594046564119
9,right_hand,early,1.459941637342569
9,tongue,early,1.4696514420671227
1,feet,late,1.6588213568733583
1,left_hand,late,1.247567064899911
1,right_hand,late,1.0725391909319866
1,tongue,late,1.6933396966013001
2,feet,late,1.0063741997578666
2,left_hand,late,1.0062946797378602
2,right_hand,late,1.0061900200435765
2,tongue,late,1.0061401616795302
3,feet,late,1.7539932969223215
3,left_hand,late,1.728103701759624
3,right_hand,late,1.7021604616689
3,tongue,late,1.7474755137945162
4,feet,late,1.651957712586849
4,left_hand,late,1.7179410201514065
4,right_hand,late,1.7178587061636763
4,tongue,late,1.6686221778419497
5,feet,late,1.084427245602172
5,left_hand,late,1.084412679770514
5,right_hand,late,1.085301871528335
5,tongue,late,1.084069859463468
6,feet,late,1.1272277988520147
6,left_hand,late,1.140340041249029
6,right_hand,late,1.135185682097964
6,tongue,late,1.131370277601331
7,feet,late,1.3826028488069024
7,left_hand,late,1.3536311513794366
7,right_hand,late,1.3499959759067037
7,tongue,late,1.4152884368507666
8,feet,late,1.9841607344139862
8,left_hand,late,1.9222650744261278
8,right_hand,late,1.9798895416240536
8,tongue,late,2.1233394577244704
9,feet,late,1.4546257006972494
9,left_hand,late,1.3291227905393501
9,right_hand,late,1.453880665683618
9,tongue,late,1.4633697878876468
1,feet,mid,1.604558661169476
1,left_hand,mid,1.3689963696665233
1,right_hand,mid,1.145470743868086
1,tongue,mid,1.6013566972215971
2,feet,mid,1.0064204799930254
2,left_hand,mid,1.0064159234232373
2,right_hand,mid,1.0061904322107633
2,tongue,mid,1.0063107860750622
3,feet,mid,1.757964037537575
3,left_hand,mid,1.7267625063127943
3,right_hand,mid,1.7100825838247935
3,tongue,mid,1.7662900424400965
4,feet,mid,1.6438400277892748
4,left_hand,mid,1.7169455864959293
4,right_hand,mid,1.7148262704875734
4,tongue,mid,1.646524449063672
5,feet,mid,1.0840230124526553
5,left_hand,mid,1.0843672222958671
5,right_hand,mid,1.0844035093784332
5,tongue,mid,1.0844507690535652
6,feet,mid,1.1308011541499032
6,left_hand,mid,1.1384343696037929
6,right_hand,mid,1.133648113621606
6,tongue,mid,1.1374393677115442
7,feet,mid,1.3893607338004643
7,left_hand,mid,1.356980053782463
7,right_hand,mid,1.352576554801729
7,tongue,mid,1.4190082695947754
8,feet,mid,1.985440875384543
8,left_hand,mid,1.9518080347776414
8,right_hand,mid,1.9433368125624126
8,tongue,mid,2.1126047450171574
9,feet,mid,1.4709522473812102
9,left_hand,mid,1.3735296045541763
9,right_hand,mid,1.461536589609252
9,tongue,mid,1.4571322630776298
