subject,class_name,window,tau_mean
1,feet,early,1.3750969296751618
1,left_hand,early,1.3301173212824675
1,right_hand,early,1.3677518569471765
1,tongue,early,1.327141864392808
2,feet,early,1.003525194273424
2,left_hand,early,1.0035351954229714
2,right_hand,early,1.0034563360338278
2,tongue,early,1.003426094613378
3,feet,early,1.6637344730646733
3,left_hand,early,1.6441171040505538
3,right_hand,early,1.6221005391244114
3,tongue,early,1.6193061710402659
4,feet,early,1.7007568584758348
4,left_hand,early,1.690346475421226
4,right_hand,early,1.6997653884809905
4,tongue,early,1.685362971688389
5,feet,early,1.0561816652931233
5,left_hand,early,1.0559853105896153
5,right_hand,early,1.0567934350151653
5,tongue,early,1.0557317778179045
6,feet,early,1.169004535312375
6,left_hand,early,1.1701855613756433
6,right_hand,early,1.1693348948970252
6,tongue,early,1.1695554199147267
7,feet,early,1.456743883760728
7,left_hand,early,1.459020150112517
7,right_hand,early,1.4723791486108955
7,tongue,early,1.4720867554504404
8,feet,early,1.9071733011507694
8,left_hand,early,1.9140280650721655
8,right_hand,early,1.9179310694836227
8,tongue,early,1.926067253689707
9,feet,early,1.4927527973365953
9,left_hand,early,1.5033329799114292
9,right_hand,early,1.49012251429562
9,tongue,early,1.5019185294707615
1,feet,late,1.168973435517601
1,left_hand,late,1.0642680595612228
1,right_hand,late,1.0074023043997185
1,tongue,late,1.2916438519206954
2,feet,late,1.0034246497577237
2,left_hand,late,1.0034731780062012
2,right_hand,late,1.0034121961256082
2,tongue,late,1.0033577961386533
3,feet,late,1.5942590196339887
3,left_hand,late,1.6014830032396914
3,right_hand,late,1.5680584323769402
3,tongue,late,1.5953725678679336
4,feet,late,1.6895706209497638
4,left_hand,late,1.7585434021968995
4,right_hand,late,1.7577065929343196
4,tongue,late,1.7291622267882456
5,feet,late,1.0578300662899531
5,left_hand,late,1.0581250785980174
5,right_hand,late,1.0576388691702197
5,tongue,late,1.057394845297687
6,feet,late,1.176658969919955
6,left_hand,late,1.1792467482468134
6,right_hand,late,1.1782433011679239
6,tongue,late,1.1770727910288346
7,feet,late,1.2504549805462146
7,left_hand,late,1.2321522315717086
7,right_hand,late,1.2381258146256529
7,tongue,late,1.3267868576190807
8,feet,late,1.7970862504775806
8,left_hand,late,1.7905816871098719
8,right_hand,late,1.7939752967073497
8,tongue,late,1.8060254604959571
9,feet,late,1.484905681275766
9,left_hand,late,1.389766583599711
9,right_hand,late,1.4849339593268638
9,tongue,late,1.4870538664013682
1,feet,mid,1.2027068989475567
1,left_hand,mid,1.091059598757161
1,right_hand,mid,1.0427442693445417
1,tongue,mid,1.2068196233312287
2,feet,mid,1.0034389170209568
2,left_hand,mid,1.0035010248290168
2,right_hand,mid,1.0033974505133099
2,tongue,mid,1.003424677815702
3,feet,mid,1.5994867124292584
3,left_hand,mid,1.5949929893546635
3,right_hand,mid,1.5708483347230486
3,tongue,mid,1.5962201813591852
4,feet,mid,1.6806018596225316
4,left_hand,mid,1.750328668779797
4,right_hand,mid,1.7436049507459004
4,tongue,mid,1.6599550727407137
5,feet,mid,1.0573819168408711
5,left_hand,mid,1.0574682397445043
5,right_hand,mid,1.0576745960447524
5,tongue,mid,1.057215139746666
6,feet,mid,1.1769554875426822
6,left_hand,mid,1.1786710629728105
6,right_hand,mid,1.1782622941599952
6,tongue,mid,1.1780647894011604
7,feet,mid,1.2649320631159677
7,left_hand,mid,1.2654800873067644
7,right_hand,mid,1.2622373960283069
7,tongue,mid,1.3120516067743302
8,feet,mid,1.7971234872076245
8,left_hand,mid,1.7941820145448046
8,right_hand,mid,1.7983231003814275
8,tongue,mid,1.811680241611269
9,feet,mid,1.4839879001114105
9,left_hand,mid,1.4150578671031528
9,right_hand,mid,1.4891799315479066
9,tongue,mid,1.4821203423606026
