subject,channel,channel_index,tau_sensitivity_mean,tau_sensitivity_std
1,Fz,0,0.026991987600922585,0.017481770366430283
1,FC3,1,0.041370175778865814,0.03559320047497749
1,FC1,2,0.06630104035139084,0.04306112602353096
1,FCz,3,0.033189766108989716,0.02578708902001381
1,FC2,4,0.01377192698419094,0.01711810939013958
1,FC4,5,0.019333558157086372,0.019432177767157555
1,C5,6,0.03843378275632858,0.03191978856921196
1,C3,7,0.051619019359350204,0.04262089356780052
1,C1,8,0.032250747084617615,0.02217204123735428
1,Cz,9,0.015438644215464592,0.014069627039134502
1,C2,10,0.006385793909430504,0.01111531537026167
1,C4,11,0.017399244010448456,0.018871881067752838
1,C6,12,0.007413635496050119,0.012265783734619617
1,CP3,13,0.08148172497749329,0.07387378066778183
1,CP1,14,0.026186244562268257,0.030037207528948784
1,CPz,15,0.01246619038283825,0.014877988025546074
1,CP2,16,0.014897222630679607,0.016892004758119583
1,CP4,17,0.01632678508758545,0.02072948031127453
1,P1,18,0.01126829069107771,0.015344836749136448
1,Pz,19,0.00908467173576355,0.013822264038026333
1,P2,20,0.012931100092828274,0.01380920223891735
1,POz,21,0.014235625974833965,0.016055118292570114
2,Fz,0,0.013430249877274036,0.0031637658830732107
2,FC3,1,0.026736214756965637,0.006474829278886318
2,FC1,2,0.017708795145154,0.005798906087875366
2,FCz,3,0.009255094453692436,0.00412811478599906
2,FC2,4,0.004433429799973965,0.0017276050057262182
2,FC4,5,0.013554565608501434,0.0019572474993765354
2,C5,6,0.0025804059114307165,0.0016359479632228613
2,C3,7,0.004320985171943903,0.00371718080714345
2,C1,8,0.022658513858914375,0.005180233623832464
2,Cz,9,0.05320658162236214,0.0058687408454716206
2,C2,10,0.012921806424856186,0.0026984987780451775
2,C4,11,0.009528317488729954,0.003579722950235009
2,C6,12,0.005646699573844671,0.0021814831998199224
2,CP3,13,0.003756327787414193,0.0028199180960655212
2,CP1,14,0.02912665344774723,0.005976905580610037
2,CPz,15,0.018039520829916,0.0014429797884076834
2,CP2,16,0.01508160401135683,0.0018874317174777389
2,CP4,17,0.0022802266757935286,0.002218035515397787
2,P1,18,0.006846972741186619,0.0023358052130788565
2,Pz,19,0.006528755184262991,0.0022017606534063816
2,P2,20,0.009931735694408417,0.002524059498682618
2,POz,21,0.010138783603906631,0.0026200248394161463
3,Fz,0,0.025752179324626923,0.026229513809084892
3,FC3,1,0.04204598441720009,0.03856457397341728
3,FC1,2,0.05393070727586746,0.04834942892193794
3,FCz,3,0.03824048489332199,0.03737081214785576
3,FC2,4,0.02563623897731304,0.028012311086058617
3,FC4,5,0.02305685542523861,0.026192130520939827
3,C5,6,0.01142638549208641,0.010670621879398823
3,C3,7,0.17369519174098969,0.12191950529813766
3,C1,8,0.038095492869615555,0.036518484354019165
3,Cz,9,0.013555426150560379,0.015877913683652878
3,C2,10,0.010597657412290573,0.01575442962348461
3,C4,11,0.02663293108344078,0.0263790562748909
3,C6,12,0.018669571727514267,0.021527785807847977
3,CP3,13,0.09453214704990387,0.0698898509144783
3,CP1,14,0.03470892086625099,0.034490879625082016
3,CPz,15,0.03877807408571243,0.04139045625925064
3,CP2,16,0.019112220034003258,0.021648762747645378
3,CP4,17,0.03794705867767334,0.03619125857949257
3,P1,18,0.019931862130761147,0.021660011261701584
3,Pz,19,0.023177333176136017,0.027533821761608124
3,P2,20,0.01335047371685505,0.01632736064493656
3,POz,21,0.036766450852155685,0.036085162311792374
4,Fz,0,0.0006579943001270294,0.0027056175749748945
4,FC3,1,0.0017867791466414928,0.003128492273390293
4,FC1,2,0.0012891239020973444,0.003981142770498991
4,FCz,3,0.0024682017974555492,0.0025842906907200813
4,FC2,4,0.0009286751155741513,0.00215230043977499
4,FC4,5,0.0015374512877315283,0.0023905904963612556
4,C5,6,0.0016295582754537463,0.004080868326127529
4,C3,7,0.0012690263101831079,0.0028256080113351345
4,C1,8,0.0012550796382129192,0.0027840640395879745
4,Cz,9,0.0010409267852082849,0.003100557252764702
4,C2,10,0.001657385379076004,0.0027842491399496794
4,C4,11,0.001829317887313664,0.003640567185357213
4,C6,12,0.0018247166881337762,0.002551755402237177
4,CP3,13,0.0028437243308871984,0.0031216179486364126
4,CP1,14,0.0017170815262943506,0.0025082402862608433
4,CPz,15,0.0024055433459579945,0.003836197778582573
4,CP2,16,0.0068700071424245834,0.005596788600087166
4,CP4,17,0.006564910523593426,0.005229694303125143
4,P1,18,0.010956152342259884,0.007269818801432848
4,Pz,19,0.008864502422511578,0.005990048870444298
4,P2,20,0.016236312687397003,0.008629580959677696
4,POz,21,0.01238858699798584,0.007557963021099567
5,Fz,0,0.014646317809820175,0.0014169433852657676
5,FC3,1,0.017659621313214302,0.0016138894716277719
5,FC1,2,0.01731862872838974,0.0014970069751143456
5,FCz,3,0.0071634287014603615,0.000756666180677712
5,FC2,4,0.0033885447774082422,0.0006784507422707975
5,FC4,5,0.0011300957994535565,0.0006330764736048877
5,C5,6,0.011766784824430943,0.001585755730047822
5,C3,7,0.006510076578706503,0.0020242412574589252
5,C1,8,0.006184834521263838,0.0020699019078165293
5,Cz,9,0.012258727103471756,0.0009191078715957701
5,C2,10,0.006871240679174662,0.0005322428769432008
5,C4,11,0.002337338635697961,0.001084076357074082
5,C6,12,0.0005677930312231183,0.000407721585361287
5,CP3,13,0.01168707013130188,0.001366537413559854
5,CP1,14,0.005177788902074099,0.0007335405680350959
5,CPz,15,0.011215146631002426,0.0009254220640286803
5,CP2,16,0.011031576432287693,0.000755702902097255
5,CP4,17,0.01401536539196968,0.0011817037593573332
5,P1,18,0.00690718088299036,0.0007123581599444151
5,Pz,19,0.007793309632688761,0.0011395891197025776
5,P2,20,0.002151843626052141,0.0005300285411067307
5,POz,21,0.003423620481044054,0.0014169246423989534
6,Fz,0,0.004687076434493065,0.0012698476202785969
6,FC3,1,0.0009886398911476135,0.000734757340978831
6,FC1,2,0.004209096543490887,0.0013696581590920687
6,FCz,3,0.007012540474534035,0.0014605853939428926
6,FC2,4,0.0020865227561444044,0.0009536605211906135
6,FC4,5,0.005177605897188187,0.0011824836255982518
6,C5,6,0.002155791502445936,0.0014535028021782637
6,C3,7,0.0014531048946082592,0.0009197600884363055
6,C1,8,0.0031157445628196,0.0008135690586641431
6,Cz,9,0.010802609845995903,0.001605503843165934
6,C2,10,0.010876062326133251,0.0013198048109188676
6,C4,11,0.0038429375272244215,0.0012562851188704371
6,C6,12,0.002850707620382309,0.001332975341938436
6,CP3,13,0.007784682791680098,0.0014409577706828713
6,CP1,14,0.007057646755129099,0.001016947440803051
6,CPz,15,0.007986802607774734,0.0014821842778474092
6,CP2,16,0.008307958953082561,0.0011225702473893762
6,CP4,17,0.010236834175884724,0.001676154206506908
6,P1,18,0.006540495436638594,0.001606298959814012
6,Pz,19,0.005750987213104963,0.002133359666913748
6,P2,20,0.01003249641507864,0.003438927698880434
6,POz,21,0.010026001371443272,0.005933919455856085
7,Fz,0,0.004154386464506388,0.00965914037078619
7,FC3,1,0.00543018477037549,0.00371913961134851
7,FC1,2,0.0060472930781543255,0.010485818609595299
7,FCz,3,0.0073349690064787865,0.013809246942400932
7,FC2,4,0.005847016349434853,0.006346817594021559
7,FC4,5,0.011785154230892658,0.01374586671590805
7,C5,6,0.0029194620437920094,0.0046397061087191105
7,C3,7,0.005490710027515888,0.006393576506525278
7,C1,8,0.0034814956597983837,0.0044621373526751995
7,Cz,9,0.007121450267732143,0.01013566181063652
7,C2,10,0.005291583016514778,0.006712790112942457
