index,channel,channel_index,tau_sensitivity_mean,tau_sensitivity_std
0,C1,8,0.015454411558392975,0.014969437605096255
1,C2,10,0.00910753213490049,0.005676695119418912
2,C3,7,0.02891926670498732,0.056490367561692345
3,C4,11,0.01556491149434199,0.013235575150488853
4,C5,6,0.011222937209014263,0.012686780174389619
5,C6,12,0.010262158363022737,0.00912160289475408
6,CP1,14,0.019312252005976107,0.017592417754971872
7,CP2,16,0.01799486598206891,0.019069129624980103
8,CP3,13,0.025990474606967635,0.035587726152982245
9,CP4,17,0.025488510702012315,0.026805134084883577
10,CPz,15,0.018544602828721207,0.018262330212851167
11,Cz,9,0.018664761304130986,0.01766345538880127
12,FC1,2,0.02131378679122362,0.0231746504159057
13,FC2,4,0.008718121415262835,0.007784102438378084
14,FC3,1,0.016715227781484526,0.0163300564848893
15,FC4,5,0.011567025484206775,0.008656293781869934
16,FCz,3,0.01523583335801959,0.013507494359488809
17,Fz,0,0.014103006726751724,0.010577250086830607
18,P1,18,0.012148255327095589,0.00832571241383206
19,P2,20,0.011555951424977846,0.008530453661382956
20,POz,21,0.01998150622886088,0.015601592063225046
21,Pz,19,0.015437541503666176,0.021427129556609498
